NETWORK_SIZE,CONFED_PROP,PRIOR,UPDATE_SCALAR,FIRST_TIPPED
24,0.1,0.6,0.02,1000
24,0.1,0.6,0.07,1000
24,0.1,0.6,0.12,1000
24,0.1,0.6,0.17,1000
24,0.1,0.6,0.22,1000
24,0.1,0.6,0.27,1000
24,0.1,0.6,0.32,1000
24,0.1,0.6,0.37,1000
24,0.1,0.6,0.42,1000
24,0.1,0.6,0.47,1000
24,0.1,0.6,0.52,1000
24,0.1,0.6,0.57,1000
24,0.1,0.65,0.02,1000
24,0.1,0.65,0.07,1000
24,0.1,0.65,0.12,1000
24,0.1,0.65,0.17,1000
24,0.1,0.65,0.22,1000
24,0.1,0.65,0.27,1000
24,0.1,0.65,0.32,1000
24,0.1,0.65,0.37,1000
24,0.1,0.65,0.42,1000
24,0.1,0.65,0.47,1000
24,0.1,0.65,0.52,1000
24,0.1,0.65,0.57,1000
24,0.1,0.7,0.02,1000
24,0.1,0.7,0.07,1000
24,0.1,0.7,0.12,1000
24,0.1,0.7,0.17,1000
24,0.1,0.7,0.22,1000
24,0.1,0.7,0.27,1000
24,0.1,0.7,0.32,1000
24,0.1,0.7,0.37,1000
24,0.1,0.7,0.42,1000
24,0.1,0.7,0.47,1000
24,0.1,0.7,0.52,1000
24,0.1,0.7,0.57,1000
24,0.1,0.75,0.02,1000
24,0.1,0.75,0.07,1000
24,0.1,0.75,0.12,1000
24,0.1,0.75,0.17,1000
24,0.1,0.75,0.22,1000
24,0.1,0.75,0.27,1000
24,0.1,0.75,0.32,1000
24,0.1,0.75,0.37,1000
24,0.1,0.75,0.42,1000
24,0.1,0.75,0.47,1000
24,0.1,0.75,0.52,1000
24,0.1,0.75,0.57,1000
24,0.1,0.8,0.02,1000
24,0.1,0.8,0.07,1000
24,0.1,0.8,0.12,1000
24,0.1,0.8,0.17,1000
24,0.1,0.8,0.22,1000
24,0.1,0.8,0.27,1000
24,0.1,0.8,0.32,1000
24,0.1,0.8,0.37,1000
24,0.1,0.8,0.42,1000
24,0.1,0.8,0.47,1000
24,0.1,0.8,0.52,1000
24,0.1,0.8,0.57,1000
24,0.1,0.85,0.02,1000
24,0.1,0.85,0.07,1000
24,0.1,0.85,0.12,1000
24,0.1,0.85,0.17,1000
24,0.1,0.85,0.22,1000
24,0.1,0.85,0.27,1000
24,0.1,0.85,0.32,1000
24,0.1,0.85,0.37,1000
24,0.1,0.85,0.42,1000
24,0.1,0.85,0.47,1000
24,0.1,0.85,0.52,1000
24,0.1,0.85,0.57,1000
24,0.1,0.9,0.02,1000
24,0.1,0.9,0.07,1000
24,0.1,0.9,0.12,1000
24,0.1,0.9,0.17,1000
24,0.1,0.9,0.22,1000
24,0.1,0.9,0.27,1000
24,0.1,0.9,0.32,1000
24,0.1,0.9,0.37,1000
24,0.1,0.9,0.42,1000
24,0.1,0.9,0.47,1000
24,0.1,0.9,0.52,1000
24,0.1,0.9,0.57,1000
24,0.15,0.6,0.02,1000
24,0.15,0.6,0.07,1000
24,0.15,0.6,0.12,1000
24,0.15,0.6,0.17,1000
24,0.15,0.6,0.22,1000
24,0.15,0.6,0.27,1000
24,0.15,0.6,0.32,1000
24,0.15,0.6,0.37,1000
24,0.15,0.6,0.42,9
24,0.15,0.6,0.47,13
24,0.15,0.6,0.52,7
24,0.15,0.6,0.57,13
24,0.15,0.65,0.02,1000
24,0.15,0.65,0.07,1000
24,0.15,0.65,0.12,1000
24,0.15,0.65,0.17,1000
24,0.15,0.65,0.22,1000
24,0.15,0.65,0.27,1000
24,0.15,0.65,0.32,1000
24,0.15,0.65,0.37,1000
24,0.15,0.65,0.42,1000
24,0.15,0.65,0.47,1000
24,0.15,0.65,0.52,22
24,0.15,0.65,0.57,1000
24,0.15,0.7,0.02,1000
24,0.15,0.7,0.07,1000
24,0.15,0.7,0.12,1000
24,0.15,0.7,0.17,1000
24,0.15,0.7,0.22,1000
24,0.15,0.7,0.27,1000
24,0.15,0.7,0.32,1000
24,0.15,0.7,0.37,1000
24,0.15,0.7,0.42,1000
24,0.15,0.7,0.47,1000
24,0.15,0.7,0.52,1000
24,0.15,0.7,0.57,1000
24,0.15,0.75,0.02,1000
24,0.15,0.75,0.07,1000
24,0.15,0.75,0.12,1000
24,0.15,0.75,0.17,1000
24,0.15,0.75,0.22,1000
24,0.15,0.75,0.27,1000
24,0.15,0.75,0.32,1000
24,0.15,0.75,0.37,1000
24,0.15,0.75,0.42,1000
24,0.15,0.75,0.47,1000
24,0.15,0.75,0.52,1000
24,0.15,0.75,0.57,1000
24,0.15,0.8,0.02,1000
24,0.15,0.8,0.07,1000
24,0.15,0.8,0.12,1000
24,0.15,0.8,0.17,1000
24,0.15,0.8,0.22,1000
24,0.15,0.8,0.27,1000
24,0.15,0.8,0.32,1000
24,0.15,0.8,0.37,1000
24,0.15,0.8,0.42,1000
24,0.15,0.8,0.47,1000
24,0.15,0.8,0.52,1000
24,0.15,0.8,0.57,1000
24,0.15,0.85,0.02,1000
24,0.15,0.85,0.07,1000
24,0.15,0.85,0.12,1000
24,0.15,0.85,0.17,1000
24,0.15,0.85,0.22,1000
24,0.15,0.85,0.27,1000
24,0.15,0.85,0.32,1000
24,0.15,0.85,0.37,1000
24,0.15,0.85,0.42,1000
24,0.15,0.85,0.47,1000
24,0.15,0.85,0.52,1000
24,0.15,0.85,0.57,1000
24,0.15,0.9,0.02,1000
24,0.15,0.9,0.07,1000
24,0.15,0.9,0.12,1000
24,0.15,0.9,0.17,1000
24,0.15,0.9,0.22,1000
24,0.15,0.9,0.27,1000
24,0.15,0.9,0.32,1000
24,0.15,0.9,0.37,1000
24,0.15,0.9,0.42,1000
24,0.15,0.9,0.47,1000
24,0.15,0.9,0.52,1000
24,0.15,0.9,0.57,1000
24,0.2,0.6,0.02,1000
24,0.2,0.6,0.07,1000
24,0.2,0.6,0.12,1000
24,0.2,0.6,0.17,1000
24,0.2,0.6,0.22,1000
24,0.2,0.6,0.27,1000
24,0.2,0.6,0.32,7
24,0.2,0.6,0.37,13
24,0.2,0.6,0.42,8
24,0.2,0.6,0.47,4
24,0.2,0.6,0.52,10
24,0.2,0.6,0.57,8
24,0.2,0.65,0.02,1000
24,0.2,0.65,0.07,1000
24,0.2,0.65,0.12,1000
24,0.2,0.65,0.17,1000
24,0.2,0.65,0.22,1000
24,0.2,0.65,0.27,1000
24,0.2,0.65,0.32,15
24,0.2,0.65,0.37,24
24,0.2,0.65,0.42,11
24,0.2,0.65,0.47,30
24,0.2,0.65,0.52,24
24,0.2,0.65,0.57,12
24,0.2,0.7,0.02,1000
24,0.2,0.7,0.07,1000
24,0.2,0.7,0.12,1000
24,0.2,0.7,0.17,1000
24,0.2,0.7,0.22,1000
24,0.2,0.7,0.27,1000
24,0.2,0.7,0.32,1000
24,0.2,0.7,0.37,20
24,0.2,0.7,0.42,21
24,0.2,0.7,0.47,27
24,0.2,0.7,0.52,15
24,0.2,0.7,0.57,22
24,0.2,0.75,0.02,1000
24,0.2,0.75,0.07,1000
24,0.2,0.75,0.12,1000
24,0.2,0.75,0.17,1000
24,0.2,0.75,0.22,1000
24,0.2,0.75,0.27,1000
24,0.2,0.75,0.32,1000
24,0.2,0.75,0.37,1000
24,0.2,0.75,0.42,36
24,0.2,0.75,0.47,19
24,0.2,0.75,0.52,1000
24,0.2,0.75,0.57,12
24,0.2,0.8,0.02,1000
24,0.2,0.8,0.07,1000
24,0.2,0.8,0.12,1000
24,0.2,0.8,0.17,1000
24,0.2,0.8,0.22,1000
24,0.2,0.8,0.27,1000
24,0.2,0.8,0.32,1000
24,0.2,0.8,0.37,1000
24,0.2,0.8,0.42,30
24,0.2,0.8,0.47,23
24,0.2,0.8,0.52,30
24,0.2,0.8,0.57,20
24,0.2,0.85,0.02,1000
24,0.2,0.85,0.07,1000
24,0.2,0.85,0.12,1000
24,0.2,0.85,0.17,1000
24,0.2,0.85,0.22,1000
24,0.2,0.85,0.27,1000
24,0.2,0.85,0.32,65
24,0.2,0.85,0.37,1000
24,0.2,0.85,0.42,21
24,0.2,0.85,0.47,1000
24,0.2,0.85,0.52,35
24,0.2,0.85,0.57,18
24,0.2,0.9,0.02,1000
24,0.2,0.9,0.07,1000
24,0.2,0.9,0.12,1000
24,0.2,0.9,0.17,1000
24,0.2,0.9,0.22,1000
24,0.2,0.9,0.27,1000
24,0.2,0.9,0.32,1000
24,0.2,0.9,0.37,45
24,0.2,0.9,0.42,1000
24,0.2,0.9,0.47,26
24,0.2,0.9,0.52,1000
24,0.2,0.9,0.57,1000
